Name,Team,Dependencies Team,Docs URL,Repo URL,Hosted On
search-api,#user-experience-measurement-govuk,#user-experience-measurement-govuk,https://docs.publishing.service.gov.uk/repos/search-api.html,https://github.com/alphagov/search-api,aws
service-manual-frontend,#navigation-and-presentation-govuk,#navigation-and-presentation-govuk,https://docs.publishing.service.gov.uk/repos/service-manual-frontend.html,https://github.com/alphagov/service-manual-frontend,aws
service-manual-publisher,#govuk-publishing-experience-tech,#govuk-publishing-experience-tech,https://docs.publishing.service.gov.uk/repos/service-manual-publisher.html,https://github.com/alphagov/service-manual-publisher,aws
short-url-manager,#govuk-publishing-experience-tech,#govuk-publishing-experience-tech,https://docs.publishing.service.gov.uk/repos/short-url-manager.html,https://github.com/alphagov/short-url-manager,aws
signon,#govuk-publishing-platform,#govuk-publishing-platform,https://docs.publishing.service.gov.uk/repos/signon.html,https://github.com/alphagov/signon,aws
smart-answers,#interaction-and-personalisation-govuk,#interaction-and-personalisation-govuk,https://docs.publishing.service.gov.uk/repos/smart-answers.html,https://github.com/alphagov/smart-answers,aws
specialist-publisher,#govuk-publishing-experience-tech,#govuk-publishing-experience-tech,https://docs.publishing.service.gov.uk/repos/specialist-publisher.html,https://github.com/alphagov/specialist-publisher,aws
static,#navigation-and-presentation-govuk,#navigation-and-presentation-govuk,https://docs.publishing.service.gov.uk/repos/static.html,https://github.com/alphagov/static,aws
support,#govuk-platform-reliability-team,#govuk-platform-reliability-team,https://docs.publishing.service.gov.uk/repos/support.html,https://github.com/alphagov/support,aws
support-api,#govuk-platform-reliability-team,#govuk-platform-reliability-team,https://docs.publishing.service.gov.uk/repos/support-api.html,https://github.com/alphagov/support-api,aws
transition,#govuk-publishing-platform,#govuk-publishing-platform,https://docs.publishing.service.gov.uk/repos/transition.html,https://github.com/alphagov/transition,aws
travel-advice-publisher,#govuk-publishing-experience-tech,#govuk-publishing-experience-tech,https://docs.publishing.service.gov.uk/repos/travel-advice-publisher.html,https://github.com/alphagov/travel-advice-publisher,aws
whitehall,#govuk-publishing-experience-tech,#govuk-publishing-experience-tech,https://docs.publishing.service.gov.uk/repos/whitehall.html,https://github.com/alphagov/whitehall,aws

